"name","type","class","S3method","generic","package","Rversion"
"as.data.frame.array","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.character","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.complex","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.data.frame","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.difftime","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.integer","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.list","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.logical","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.matrix","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.model.matrix","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.noquote","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.numeric","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.numeric_version","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.ordered","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.raw","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.table","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.ts","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.vector","closure","function",FALSE,FALSE,"base","3.3.2"
"as.difftime","closure","function",FALSE,FALSE,"base","3.3.2"
"as.double","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.double.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.double.difftime","closure","function",FALSE,FALSE,"base","3.3.2"
"as.environment","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.expression","closure","function",FALSE,FALSE,"base","3.3.2"
"as.expression.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.function","closure","function",FALSE,FALSE,"base","3.3.2"
"as.function.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.hexmode","closure","function",FALSE,FALSE,"base","3.3.2"
"as.integer","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.list","closure","function",FALSE,FALSE,"base","3.3.2"
