name,type,class,S3method,generic,package,Rversion
as.character.hexmode,closure,function,TRUE,FALSE,base,3.4.0
as.character.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
as.character.octmode,closure,function,TRUE,FALSE,base,3.4.0
as.character.srcref,closure,function,TRUE,FALSE,base,3.4.0
as.complex,builtin,function,FALSE,FALSE,base,3.4.0
as.data.frame,closure,function,FALSE,FALSE,base,3.4.0
as.data.frame.AsIs,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.Date,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.array,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.character,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.complex,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.data.frame,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.default,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.difftime,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.factor,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.integer,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.list,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.logical,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.matrix,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.model.matrix,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.noquote,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.numeric,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.ordered,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.raw,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.table,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.ts,closure,function,TRUE,FALSE,base,3.4.0
as.data.frame.vector,closure,function,TRUE,FALSE,base,3.4.0
as.difftime,closure,function,FALSE,FALSE,base,3.4.0
as.double,builtin,function,FALSE,FALSE,base,3.4.0
as.double.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
as.double.difftime,closure,function,TRUE,FALSE,base,3.4.0
as.environment,builtin,function,FALSE,FALSE,base,3.4.0
as.expression,closure,function,FALSE,FALSE,base,3.4.0
as.expression.default,closure,function,TRUE,FALSE,base,3.4.0
as.factor,closure,function,FALSE,FALSE,base,3.4.0
as.function,closure,function,FALSE,FALSE,base,3.4.0
as.function.default,closure,function,TRUE,FALSE,base,3.4.0
as.hexmode,closure,function,FALSE,FALSE,base,3.4.0
as.integer,builtin,function,FALSE,FALSE,base,3.4.0
as.list,closure,function,FALSE,FALSE,base,3.4.0
as.list.Date,closure,function,TRUE,FALSE,base,3.4.0
as.list.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
as.list.data.frame,closure,function,TRUE,FALSE,base,3.4.0
as.list.default,closure,function,TRUE,FALSE,base,3.4.0
as.list.environment,closure,function,TRUE,FALSE,base,3.4.0
as.list.factor,closure,function,TRUE,FALSE,base,3.4.0
as.list.function,closure,function,TRUE,FALSE,base,3.4.0
as.list.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
as.logical,builtin,function,FALSE,FALSE,base,3.4.0
as.logical.factor,closure,function,TRUE,FALSE,base,3.4.0
as.matrix,closure,function,FALSE,FALSE,base,3.4.0
as.matrix.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
as.matrix.data.frame,closure,function,TRUE,FALSE,base,3.4.0
as.matrix.default,closure,function,TRUE,FALSE,base,3.4.0
as.matrix.noquote,closure,function,TRUE,FALSE,base,3.4.0
as.name,closure,function,FALSE,FALSE,base,3.4.0
as.null,closure,function,FALSE,FALSE,base,3.4.0
as.null.default,closure,function,TRUE,FALSE,base,3.4.0
as.numeric,builtin,function,FALSE,FALSE,base,3.4.0
as.numeric_version,closure,function,FALSE,FALSE,base,3.4.0
as.octmode,closure,function,FALSE,FALSE,base,3.4.0
as.ordered,closure,function,FALSE,FALSE,base,3.4.0
as.package_version,closure,function,FALSE,FALSE,base,3.4.0
as.pairlist,closure,function,FALSE,FALSE,base,3.4.0
as.qr,closure,function,FALSE,FALSE,base,3.4.0
as.raw,builtin,function,FALSE,FALSE,base,3.4.0
as.single,closure,function,FALSE,FALSE,base,3.4.0
as.single.default,closure,function,TRUE,FALSE,base,3.4.0
as.symbol,closure,function,FALSE,FALSE,base,3.4.0
as.table,closure,function,FALSE,FALSE,base,3.4.0
as.table.default,closure,function,TRUE,FALSE,base,3.4.0
as.vector,closure,function,FALSE,FALSE,base,3.4.0
as.vector.factor,closure,function,TRUE,FALSE,base,3.4.0
asNamespace,closure,function,FALSE,FALSE,base,3.4.0
asS3,closure,function,FALSE,FALSE,base,3.4.0
asS4,closure,function,FALSE,FALSE,base,3.4.0
asin,builtin,function,FALSE,TRUE,base,3.4.0
asinh,builtin,function,FALSE,TRUE,base,3.4.0
assign,closure,function,FALSE,FALSE,base,3.4.0
atan,builtin,function,FALSE,TRUE,base,3.4.0
atan2,closure,function,FALSE,FALSE,base,3.4.0
atanh,builtin,function,FALSE,TRUE,base,3.4.0
attach,closure,function,FALSE,FALSE,base,3.4.0
attachNamespace,closure,function,FALSE,FALSE,base,3.4.0
attr,builtin,function,FALSE,FALSE,base,3.4.0
attr.all.equal,closure,function,FALSE,FALSE,base,3.4.0
attr<-,builtin,function,FALSE,FALSE,base,3.4.0
attributes,builtin,function,FALSE,FALSE,base,3.4.0
attributes<-,builtin,function,FALSE,FALSE,base,3.4.0
autoload,closure,function,FALSE,FALSE,base,3.4.0
autoloader,closure,function,FALSE,FALSE,base,3.4.0
backsolve,closure,function,FALSE,FALSE,base,3.4.0
baseenv,builtin,function,FALSE,FALSE,base,3.4.0
basename,closure,function,FALSE,FALSE,base,3.4.0
besselI,closure,function,FALSE,FALSE,base,3.4.0
besselJ,closure,function,FALSE,FALSE,base,3.4.0
besselK,closure,function,FALSE,FALSE,base,3.4.0
besselY,closure,function,FALSE,FALSE,base,3.4.0
beta,closure,function,FALSE,FALSE,base,3.4.0
bindingIsActive,closure,function,FALSE,FALSE,base,3.4.0
bindingIsLocked,closure,function,FALSE,FALSE,base,3.4.0
bindtextdomain,closure,function,FALSE,FALSE,base,3.4.0
bitwAnd,closure,function,FALSE,FALSE,base,3.4.0
bitwNot,closure,function,FALSE,FALSE,base,3.4.0
bitwOr,closure,function,FALSE,FALSE,base,3.4.0
bitwShiftL,closure,function,FALSE,FALSE,base,3.4.0
bitwShiftR,closure,function,FALSE,FALSE,base,3.4.0
bitwXor,closure,function,FALSE,FALSE,base,3.4.0
body,closure,function,FALSE,FALSE,base,3.4.0
body<-,closure,function,FALSE,TRUE,base,3.4.0
bquote,closure,function,FALSE,FALSE,base,3.4.0
break,special,function,FALSE,FALSE,base,3.4.0
browser,builtin,function,FALSE,FALSE,base,3.4.0
browserCondition,closure,function,FALSE,FALSE,base,3.4.0
browserSetDebug,closure,function,FALSE,FALSE,base,3.4.0
browserText,closure,function,FALSE,FALSE,base,3.4.0
builtins,closure,function,FALSE,FALSE,base,3.4.0
by,closure,function,FALSE,FALSE,base,3.4.0
by.data.frame,closure,function,TRUE,FALSE,base,3.4.0
by.default,closure,function,TRUE,FALSE,base,3.4.0
bzfile,closure,function,FALSE,FALSE,base,3.4.0
c,builtin,function,FALSE,FALSE,base,3.4.0
c.Date,closure,function,TRUE,FALSE,base,3.4.0
c.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
c.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
c.difftime,closure,function,TRUE,FALSE,base,3.4.0
c.noquote,closure,function,TRUE,FALSE,base,3.4.0
c.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
c.warnings,closure,function,TRUE,FALSE,base,3.4.0
call,special,function,FALSE,FALSE,base,3.4.0
callCC,closure,function,FALSE,FALSE,base,3.4.0
capabilities,closure,function,FALSE,FALSE,base,3.4.0
casefold,closure,function,FALSE,FALSE,base,3.4.0
cat,closure,function,FALSE,FALSE,base,3.4.0
cbind,closure,function,FALSE,FALSE,base,3.4.0
cbind.data.frame,closure,function,TRUE,FALSE,base,3.4.0
ceiling,builtin,function,FALSE,TRUE,base,3.4.0
char.expand,closure,function,FALSE,FALSE,base,3.4.0
charToRaw,closure,function,FALSE,FALSE,base,3.4.0
character,closure,function,FALSE,FALSE,base,3.4.0
charmatch,closure,function,FALSE,FALSE,base,3.4.0
chartr,closure,function,FALSE,FALSE,base,3.4.0
check_tzones,closure,function,FALSE,FALSE,base,3.4.0
chkDots,closure,function,FALSE,FALSE,base,3.4.0
chol,closure,function,FALSE,FALSE,base,3.4.0
chol.default,closure,function,TRUE,FALSE,base,3.4.0
chol2inv,closure,function,FALSE,FALSE,base,3.4.0
choose,closure,function,FALSE,FALSE,base,3.4.0
class,builtin,function,FALSE,FALSE,base,3.4.0
class<-,builtin,function,FALSE,FALSE,base,3.4.0
clearPushBack,closure,function,FALSE,FALSE,base,3.4.0
close,closure,function,FALSE,FALSE,base,3.4.0
close.connection,closure,function,TRUE,FALSE,base,3.4.0
close.srcfile,closure,function,TRUE,FALSE,base,3.4.0
close.srcfilealias,closure,function,TRUE,FALSE,base,3.4.0
closeAllConnections,closure,function,FALSE,FALSE,base,3.4.0
